level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	46	1	1	1	321	1556	12	348	95.000000	 
2	1	47	0	0	0	320	1556	12	348	-1	
3	1	47	1	0	0	320	1556	12	348	-1	
4	1	47	1	1	0	320	1556	12	348	-1	
5	1	47	1	1	1	320	1556	12	348	95.000000	 
2	1	48	0	0	0	320	1556	12	348	-1	
3	1	48	1	0	0	320	1556	12	348	-1	
4	1	48	1	1	0	320	1556	12	348	-1	
5	1	48	1	1	1	320	1556	12	348	95.000000	 
2	1	49	0	0	0	291	1079	18	372	-1	
3	1	49	1	0	0	291	1079	18	372	-1	
4	1	49	1	1	0	291	1079	18	372	-1	
5	1	49	1	1	1	291	1079	18	372	95.000000	 
2	1	50	0	0	0	0	0	2000	2214	-1	
3	1	50	1	0	0	0	0	2000	2214	-1	
4	1	50	1	1	0	0	0	2000	2214	-1	
5	1	50	1	1	1	0	0	2000	2214	95.000000	 
